Месяц	курс доллара: (Россия)	девальвация: (Россия)	финансовый кризис: (Россия)	банк: (Россия)	евро: (Россия)	ЦБ: (Россия)	РТС: (Россия)	ММВБ: (Россия)	акция: (Россия)	ипотека: (Россия)	взять кредит: (Россия)	ПИФ: (Россия)	банкротство: (Россия)	залог: (Россия)	дефолт: (Россия)
2004-01	5.0	0.0	0.0	29.0	1.0	5.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0
2004-02	1.0	0.0	0.0	32.0	0.0	5.0	1.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0
2004-03	3.0	0.0	0.0	22.0	4.0	4.0	1.0	0.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0
2004-04	2.0	0.0	0.0	34.0	1.0	2.0	1.0	0.0	2.0	2.0	1.0	0.0	4.0	0.0	0.0
2004-05	5.0	0.0	0.0	25.0	7.0	3.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
2004-06	4.0	0.0	0.0	33.0	17.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	1.0
2004-07	3.0	0.0	0.0	39.0	3.0	3.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
2004-08	2.0	0.0	0.0	30.0	3.0	6.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
2004-09	1.0	0.0	0.0	22.0	2.0	4.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
2004-10	3.0	0.0	0.0	31.0	1.0	3.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0
2004-11	6.0	1.0	0.0	28.0	1.0	3.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
2004-12	5.0	0.0	0.0	28.0	7.0	6.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0
2005-01	1.0	0.0	0.0	22.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
2005-02	1.0	0.0	0.0	24.0	1.0	2.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0
2005-03	5.0	0.0	0.0	30.0	2.0	4.0	1.0	1.0	2.0	3.0	0.0	1.0	2.0	0.0	0.0
2005-04	4.0	0.0	0.0	34.0	1.0	2.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0
2005-05	3.0	0.0	0.0	33.0	2.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	2.0	0.0
2005-06	5.0	0.0	0.0	38.0	4.0	7.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	2.0	0.0
2005-07	4.0	0.0	0.0	20.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0
2005-08	5.0	0.0	0.0	33.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
2005-09	2.0	0.0	0.0	30.0	6.0	3.0	1.0	0.0	2.0	2.0	0.0	1.0	2.0	1.0	2.0
2005-10	2.0	0.0	0.0	35.0	3.0	2.0	1.0	0.0	3.0	3.0	0.0	1.0	1.0	0.0	0.0
2005-11	4.0	0.0	0.0	37.0	4.0	5.0	2.0	1.0	1.0	4.0	0.0	1.0	2.0	0.0	0.0
2005-12	2.0	0.0	0.0	38.0	3.0	2.0	1.0	2.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0
2006-01	4.0	0.0	0.0	31.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	2.0	2.0	0.0	1.0
2006-02	4.0	0.0	0.0	31.0	2.0	1.0	1.0	1.0	1.0	4.0	0.0	2.0	0.0	1.0	0.0
2006-03	1.0	0.0	0.0	35.0	2.0	4.0	1.0	1.0	2.0	5.0	0.0	2.0	1.0	1.0	1.0
2006-04	4.0	0.0	0.0	37.0	2.0	4.0	1.0	1.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0
