Месяц	финансовый кризис: (Россия)	банк: (Россия)	курс доллара: (Россия)	евро: (Россия)	ЦБ: (Россия)	РТС: (Россия)	ММВБ: (Россия)	акция: (Россия)	ипотека: (Россия)	взять кредит: (Россия)	ПИФ: (Россия)	банкротство: (Россия)	залог: (Россия)	дефолт: (Россия)	девальвация: (Россия)
2004-01	0.0	59.0	4.0	2.0	33.0	0.0	30.0	0.0	0.0	0.0	84.0	0.0	69.0	0.0	0.0
2004-02	0.0	65.0	4.0	0.0	32.0	35.0	0.0	28.0	58.0	0.0	41.0	0.0	0.0	0.0	0.0
2004-03	0.0	46.0	0.0	7.0	29.0	42.0	0.0	33.0	46.0	0.0	48.0	33.0	79.0	0.0	0.0
2004-04	0.0	68.0	3.0	2.0	14.0	31.0	0.0	49.0	35.0	74.0	0.0	100.0	0.0	0.0	0.0
2004-05	0.0	52.0	4.0	10.0	19.0	28.0	47.0	22.0	15.0	66.0	0.0	22.0	0.0	0.0	0.0
2004-06	0.0	67.0	4.0	27.0	13.0	0.0	0.0	0.0	16.0	0.0	100.0	23.0	0.0	30.0	0.0
2004-07	0.0	78.0	4.0	5.0	22.0	64.0	0.0	25.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0
2004-08	0.0	61.0	2.0	5.0	41.0	30.0	25.0	23.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
2004-09	0.0	45.0	3.0	3.0	24.0	0.0	22.0	63.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
2004-10	0.0	64.0	1.0	1.0	23.0	25.0	42.0	20.0	28.0	0.0	29.0	20.0	0.0	0.0	0.0
2004-11	0.0	57.0	6.0	1.0	22.0	0.0	62.0	19.0	14.0	0.0	0.0	20.0	46.0	0.0	25.0
2004-12	0.0	57.0	5.0	11.0	38.0	21.0	35.0	49.0	23.0	49.0	24.0	0.0	0.0	0.0	0.0
2005-01	0.0	45.0	4.0	3.0	10.0	0.0	0.0	17.0	12.0	0.0	49.0	34.0	40.0	0.0	22.0
2005-02	0.0	48.0	3.0	1.0	14.0	41.0	0.0	32.0	34.0	0.0	48.0	0.0	39.0	21.0	0.0
2005-03	0.0	61.0	4.0	3.0	27.0	33.0	28.0	53.0	55.0	0.0	19.0	40.0	0.0	0.0	35.0
2005-04	0.0	68.0	2.0	1.0	13.0	0.0	32.0	15.0	42.0	0.0	0.0	31.0	0.0	0.0	0.0
2005-05	0.0	66.0	2.0	3.0	15.0	0.0	0.0	26.0	28.0	0.0	39.0	27.0	96.0	0.0	0.0
2005-06	0.0	77.0	6.0	5.0	48.0	0.0	0.0	28.0	48.0	0.0	41.0	0.0	100.0	0.0	0.0
2005-07	0.0	40.0	3.0	2.0	8.0	0.0	0.0	14.0	30.0	43.0	0.0	0.0	0.0	0.0	19.0
2005-08	0.0	66.0	5.0	6.0	20.0	36.0	15.0	28.0	10.0	42.0	21.0	0.0	68.0	0.0	0.0
2005-09	0.0	62.0	4.0	10.0	18.0	16.0	0.0	37.0	34.0	0.0	36.0	37.0	59.0	65.0	0.0
2005-10	0.0	70.0	1.0	4.0	13.0	41.0	0.0	76.0	46.0	0.0	48.0	22.0	26.0	0.0	0.0
2005-11	0.0	74.0	1.0	6.0	33.0	53.0	22.0	21.0	66.0	31.0	31.0	53.0	25.0	0.0	0.0
2005-12	9.0	77.0	6.0	5.0	14.0	36.0	51.0	29.0	40.0	0.0	42.0	10.0	46.0	13.0	0.0
2006-01	8.0	62.0	4.0	2.0	14.0	60.0	50.0	28.0	33.0	0.0	55.0	38.0	23.0	37.0	0.0
2006-02	0.0	63.0	2.0	3.0	8.0	23.0	29.0	18.0	65.0	28.0	54.0	9.0	45.0	12.0	0.0
2006-03	0.0	71.0	3.0	4.0	27.0	20.0	25.0	39.0	76.0	23.0	80.0	16.0	37.0	31.0	0.0
2006-04	0.0	75.0	4.0	3.0	28.0	30.0	17.0	24.0	67.0	24.0	47.0	0.0	58.0	11.0	0.0
2006-05	0.0	73.0	5.0	4.0	51.0	56.0	31.0	44.0	57.0	22.0	43.0	7.0	18.0	0.0	0.0
2006-06	0.0	63.0	2.0	5.0	16.0	41.0	34.0	32.0	39.0	24.0	59.0	24.0	19.0	11.0	11.0
2006-07	0.0	71.0	3.0	7.0	19.0	61.0	51.0	8.0	28.0	72.0	47.0	0.0	39.0	0.0	0.0
2006-08	7.0	85.0	3.0	4.0	21.0	18.0	69.0	36.0	41.0	0.0	64.0	0.0	17.0	10.0	0.0
2006-09	0.0	66.0	4.0	8.0	21.0	42.0	36.0	67.0	51.0	20.0	39.0	7.0	48.0	9.0	0.0
2006-10	5.0	65.0	4.0	5.0	21.0	14.0	42.0	50.0	43.0	17.0	82.0	23.0	27.0	0.0	0.0
2006-11	0.0	72.0	3.0	5.0	24.0	19.0	38.0	25.0	50.0	0.0	30.0	26.0	37.0	0.0	7.0
2006-12	0.0	61.0	3.0	4.0	28.0	24.0	25.0	19.0	54.0	14.0	63.0	15.0	23.0	0.0	13.0
2007-01	0.0	65.0	2.0	4.0	22.0	35.0	39.0	59.0	60.0	0.0	53.0	9.0	33.0	0.0	0.0
2007-02	0.0	65.0	4.0	4.0	20.0	34.0	29.0	22.0	35.0	13.0	40.0	0.0	43.0	0.0	0.0
2007-03	4.0	73.0	3.0	5.0	19.0	49.0	21.0	23.0	52.0	23.0	74.0	4.0	19.0	5.0	0.0
2007-04	0.0	82.0	4.0	4.0	17.0	38.0	24.0	41.0	54.0	22.0	49.0	22.0	36.0	5.0	0.0
2007-05	3.0	76.0	3.0	5.0	20.0	51.0	71.0	30.0	42.0	10.0	34.0	20.0	16.0	4.0	0.0
2007-06	0.0	68.0	3.0	6.0	23.0	55.0	35.0	25.0	36.0	32.0	43.0	11.0	52.0	5.0	0.0
2007-07	0.0	78.0	3.0	5.0	15.0	51.0	27.0	33.0	62.0	33.0	38.0	4.0	18.0	0.0	0.0
2007-08	0.0	80.0	4.0	6.0	17.0	27.0	45.0	17.0	56.0	42.0	36.0	0.0	34.0	14.0	0.0
2007-09	3.0	72.0	3.0	6.0	23.0	55.0	30.0	34.0	63.0	19.0	18.0	0.0	45.0	21.0	4.0
2007-10	2.0	81.0	2.0	7.0	14.0	13.0	21.0	35.0	54.0	29.0	22.0	10.0	59.0	42.0	3.0
2007-11	0.0	80.0	3.0	11.0	17.0	44.0	51.0	39.0	50.0	48.0	34.0	9.0	39.0	15.0	12.0
2007-12	2.0	87.0	3.0	7.0	23.0	33.0	26.0	46.0	54.0	13.0	58.0	11.0	21.0	55.0	14.0
2008-01	8.0	73.0	3.0	6.0	22.0	54.0	34.0	47.0	76.0	6.0	25.0	4.0	26.0	37.0	25.0
2008-02	4.0	77.0	2.0	8.0	16.0	36.0	30.0	33.0	74.0	0.0	21.0	14.0	49.0	40.0	11.0
2008-03	7.0	81.0	4.0	7.0	17.0	37.0	37.0	44.0	58.0	22.0	24.0	4.0	35.0	7.0	5.0
2008-04	3.0	90.0	3.0	7.0	24.0	28.0	33.0	22.0	50.0	11.0	40.0	7.0	35.0	10.0	2.0
2008-05	2.0	76.0	3.0	10.0	24.0	35.0	31.0	33.0	49.0	31.0	23.0	7.0	42.0	5.0	2.0
2008-06	0.0	78.0	3.0	79.0	23.0	28.0	26.0	46.0	39.0	28.0	19.0	4.0	45.0	0.0	0.0
2008-07	0.0	91.0	3.0	11.0	19.0	38.0	32.0	51.0	54.0	17.0	22.0	10.0	41.0	20.0	5.0
2008-08	2.0	73.0	4.0	8.0	23.0	33.0	30.0	34.0	38.0	28.0	14.0	6.0	27.0	15.0	2.0
2008-09	16.0	88.0	5.0	9.0	20.0	77.0	80.0	41.0	55.0	39.0	19.0	13.0	27.0	45.0	4.0
2008-10	100.0	97.0	8.0	9.0	31.0	100.0	100.0	28.0	46.0	21.0	22.0	29.0	33.0	73.0	51.0
2008-11	61.0	81.0	6.0	10.0	26.0	53.0	63.0	37.0	32.0	18.0	20.0	23.0	47.0	35.0	100.0
2008-12	32.0	78.0	8.0	13.0	33.0	46.0	51.0	72.0	21.0	17.0	14.0	13.0	37.0	43.0	57.0
2009-01	21.0	68.0	10.0	13.0	37.0	21.0	64.0	39.0	20.0	21.0	12.0	18.0	24.0	35.0	41.0
2009-02	20.0	63.0	9.0	12.0	37.0	42.0	93.0	37.0	24.0	21.0	15.0	22.0	31.0	9.0	30.0
2009-03	14.0	61.0	8.0	11.0	31.0	26.0	75.0	33.0	18.0	23.0	4.0	22.0	21.0	10.0	10.0
2009-04	17.0	65.0	6.0	10.0	27.0	25.0	54.0	55.0	30.0	27.0	11.0	17.0	31.0	7.0	14.0
