sber_date	sber_IFN	levada_IPN	levada_IPN_fillna	PMI_proiz	PMI_uslug	IPU_dob	IPU_obr	IPU_energ
2005-01						3	-5	-6
2005-02						3	-4	-7
2005-03						6	-3	-10
2005-04						5	-2	-9
2005-05						8	-2	-10
2005-06						8	-2	-8
2005-07						4	-2	0
2005-08						4	-1	3
2005-09						3	-2	6
2005-10						2	-3	9
2005-11						1	-5	7
2005-12						0	-6	5
2006-01						1	-2	0
2006-02						5	0	-6
2006-03						8	0	-9
2006-04						7	0	-10
2006-05						8	0	-11
2006-06						6	2	-5
2006-07						9	3	1
2006-08						7	3	6
2006-09						3	3	8
2006-10						1	2	10
2006-11						1	1	10
2006-12						0	0	8
2007-01						0	1	-3
2007-02						4	4	-8
2007-03						5	4	-12
2007-04						5	4	-13
2007-05						6	4	-14
2007-06						8	6	-2
2007-07						7	7	0
2007-08						6	5	3
2007-09						3	5	3
2007-10						1	2	3
2007-11						1	1	3
2007-12						1	-1	3
2008-01						4	2	2
2008-02						6	4	-1
2008-03						6	5	-3
2008-04						8	4	-3
2008-05						8	4	-4
2008-06						10	5	-2
2008-07						9	5	-2
2008-08						10	4	1
2008-09		95	95			6	2	3
2008-10			85			3	-1	6
2008-11			80			-8	-11	5
2008-12		75	75			-16	-20	1
2009-01			68,5			-14	-20	-2
2009-02		62	62			-12	-17	-6
2009-03			63			-12	-16	-5
2009-04			63,5			-9	-16	-8
2009-05	71	64	64			-7	-16	-6
2009-06	77	69	69			-5	-14	-8
2009-07	79	72	72			-4	-14	-5
2009-08	81	76	76			-7	-14	-2
2009-09	80	72	72			-7	-13	2
2009-10	85	75	75			-9	-13	3
2009-11	83	73	73			-12	-15	2
2009-12	94	83	83			-13	-15	0
2010-01	91	78	78			-8	-11	-4
2010-02	87	77	77			-2	-8	-6
2010-03	89	78	78			-1	-6	-6
2010-04	90	77	77			0	-6	-9
2010-05	94	82	82			3	-5	-8
2010-06	96	82	82			2	-3	-7
2010-07	97	82	82			5	-2	-2
2010-08	92	82	82			3	-2	3
2010-09	93	80	80			2	-2	6
2010-10	96	84	84			0	-3	7
2010-11	96	84	84			-2	-4	8
2010-12	100	87	87			-3	-6	6
2011-01	89	77	77			-1	-4	-2
2011-02	87	74	74			1	-1	-7
2011-03	91	79	79			3	0	-10
2011-04	91	78	78			4	-1	-12
2011-05	92	81	81			5	-1	-12
2011-06	93	84	84			6	0	-7
2011-07	92	80	80			6	0	-1
2011-08	90	81	81			4	-1	3
2011-09	95	84	84			4	-1	7
2011-10	95	84	84			0	-2	8
2011-11	93	82	82			-3	-4	8
2011-12	92	81	81			-3	-6	6
2012-01	95	84	84			-1	-3	-1
2012-02	97	84	84			3	-2	-6
2012-03	96	84	84			5	0	-11
2012-04	96	85	85			7	1	-14
2012-05	102	90	90			7	0	-14
2012-06	94	81	81	51	53,2	9	1	-10
2012-07	93	80	80	52	52	8	2	-2
2012-08	94	81	81	51	52,6	5	1	3
2012-09	93	82	82	52,4	54,5	4	1	7
2012-10	93	80	80	52,9	57,3	0	-1	9
2012-11	92	79	79	52,2	57,1	-2	-3	8
2012-12	94	83	83	50	56,1	-5	-5	6
2013-01	94	82	82	52	55,7	-3	-2	-4
2013-02	92	80	80	52	56,1	1	0	-13
2013-03	93	81	81	50,8	54,6	3	0	-16
2013-04	94	81	81	50,6	53	4	-1	-20
2013-05	99	85	85	50,4	51,4	4	0	-20
2013-06	98	85	85	51,7	48,8	4	-1	-6
2013-07	97	83	83	49,2	48,7	4	-1	-2
2013-08	92	80	80	49,4	51,8	4	-1	2
2013-09	95	81	81	49,4	51,5	1	-3	8
2013-10	93	79	79	51,8	52,5	-2	-5	9
2013-11	89	76	76	49,4	52,9	-3	-6	9
2013-12	95	83	83	48,8	53,6	-5	-8	6
