fielddate	CPI_M_CHI	WAG_M	WAG_C_M	IP2_EA_M	UNEMPL_M_SH	RTRD_M_DIRI	RTRD_M	INVFC_M	IM_T_M	USD	EUR	RTS_LAST_VALUE	RTS_CLOSE_MEAN	RTS_TRADING_VOLUME_MEAN	DEP_FIZ	IPOT_CNT	IPOT_VOLUME	IPOT_DEBT
1992-01	345.0																	
1992-02	138.0																	
1992-03	130.0																	
1992-04	122.0																	
1992-05	112.0																	
1992-06	119.0																	
1992-07	111.0																	
1992-08	109.0																	
1992-09	112.0																	
1992-10	123.0																	
1992-11	126.0																	
1992-12	125.0																	
1993-01	126.0	100.0	15.3															
1993-02	125.0	99.04	19.1															
1993-03	120.0	101.77	23.6															
1993-04	119.0	110.05	30.6															
1993-05	118.0	115.47	37.5															
1993-06	120.0	120.65	47.4															
1993-07	122.0	116.38	56.0															
1993-08	126.0	107.85	65.4															
1993-09	123.0	108.93	80.9															
1993-10	120.0	103.39	93.0															
1993-11	116.0	99.35	101.5															
1993-12	113.0	119.75	141.2															
1994-01	118.0	97.0	134.2		6.4	100.0		3.7	3.5									
1994-02	111.0	94.09	144.7		6.8	100.0		4.4	3.7									
1994-03	107.0	99.74	164.8		7.1	117.7		4.3	4.1									
1994-04	108.0	95.75	171.5		7.4	107.6		6.0	3.7									
1994-05	107.0	95.84	183.5		7.4	102.0		7.7	4.1									
1994-06	106.0	102.55	207.5		7.4	106.6		8.4	4.2									
1994-07	105.0	103.58	221.0		7.5	111.4		8.5	3.9									
1994-08	105.0	104.61	232.8		7.7	117.0		9.1	4.2									
1994-09	108.0	105.66	253.2		7.7	116.2		8.8	4.5									
1994-10	115.0	96.15	265.0		7.7	116.2		10.2	4.3									
1994-11	115.0	89.42	281.6		7.8	110.9		15.0	4.8									
1994-12	116.0	96.57	354.2		7.8	119.1		22.8	5.5									
1995-01	118.0	69.53	302.6		7.9	98.6	27.3	7.2	3.9									
1995-02	111.0	66.75	321.0		8.1	92.3	28.1	10.9	4.5									
1995-03	109.0	68.75	361.5		8.0	99.2	32.9	11.4	5.0									
1995-04	108.5	67.38	386.2		8.2	93.2	33.4	12.9	4.4									
1995-05	107.9	69.4	429.9		8.3	102.5	39.4	16.2	4.9									
1995-06	106.7	72.87	480.6		8.4	102.4	41.7	19.3	5.3									
1995-07	105.4	72.14	499.5		8.5	102.4	43.7	20.1	5.5									
1995-08	104.6	71.85	520.6		8.8	106.3	47.5	22.1	5.2									
1995-09	104.5	74.73	564.5		8.9	105.9	49.4	24.0	5.1			86.09	96.6115	1567075.2				
1995-10	104.7	75.47	594.5		9.2	108.4	52.7	26.2	5.7			73.56	77.2840909090909	1963754.4545454546				
1995-11	104.6	74.79	615.7		9.1	108.6	55.1	34.6	6.4			70.47	71.65857142857142	2076149.0476190476				
1995-12	103.2	86.76	735.5		9.0	116.0	60.7	62.0	6.7			82.92	78.9921052631579	2365342.210526316				
1996-01	104.1	73.75	654.8		9.1	106.2	57.5	17.0	4.8			80.71	84.5835294117647	4304524.705882353				
1996-02	102.8	75.22	684.4		9.3	96.4	53.3	18.0	5.7			71.31	77.23428571428572	4044227.0				
1996-03	102.8	79.74	745.0		9.2	101.0	57.1	22.8	5.9			75.63	71.18100000000001	3754258.3				
1996-04	102.2	78.14	746.5		9.5	101.9	58.6	24.2	6.1			103.98	90.70909090909092	10249026.136363637				
1996-05	101.6	80.48	779.3		9.6	99.9	58.2	24.0	5.6			146.91	121.94800000000001	12123509.65				
1996-06	101.2	85.39	837.2		9.6	99.9	58.9	27.0	5.5			204.13	169.79421052631582	19415579.52631579				
1996-07	100.7	85.39	842.8		9.7	101.2	60.1	27.3	6.0			152.15	170.9668181818182	11181516.363636363				
1996-08	99.8	84.54	831.0		9.7	103.3	61.2	27.9	5.8			182.64	176.77590909090912	8992181.090909092				
1996-09	100.3	86.23	848.1		9.8	105.0	62.5	30.0	5.2			165.93	171.95380952380953	11931627.285714285				
1996-10	101.2	84.51	843.3		9.8	105.1	63.1	32.0	5.6			177.99	177.29956521739135	15461150.652173912				
1996-11	101.9	81.97	835.0		9.9	104.9	64.0	48.9	5.5			187.9	188.13799999999998	11820292.35				
1996-12	101.4	98.37	1017.0		10.0	117.6	72.6	76.9	6.3			200.5	188.5663636363636	6556350.7727272725				
1997-01	102.3	76.73	812.0		10.1	107.9	67.9	22.5	4.7			274.68	257.236	28612342.4				
1997-02	101.5	76.73	821.0		10.3	99.9	63.4	24.1	5.0			329.97	314.55000000000007	24094843.6				
1997-03	101.4	82.86	903.0		10.5	104.3	66.9	26.6	5.5			301.3	316.2925	15636513.1				
1997-04	101.0	82.03	901.0		10.7	105.7	68.4	26.0	6.1			321.19	295.8677272727272	21183572.09090909				
1997-05	100.9	83.02	920.0		10.9	103.4	67.3	27.1	5.4			355.64	353.3131578947368	28254672.684210528				
1997-06	101.1	88.66	993.2		10.9	102.2	67.1	32.3	5.7			418.63	382.7580000000001	35665795.0				
1997-07	100.9	88.4	999.1		10.9	102.9	68.0	33.4	6.3			506.45	485.47043478260866	51801273.30434783				
1997-08	99.9	86.98	982.3		10.9	106.8	70.5	36.0	6.0			474.8	532.4319047619049	60086977.666666664				
1997-09	99.7	91.16	1026.2		11.0	111.5	73.4	39.5	6.1			498.42	491.4186363636364	47486806.54545455				
1997-10	100.2	89.15	1006.1		11.1	111.6	73.7	37.2	6.7			422.26	515.6960869565216	96589070.17391305				
1997-11	100.6	87.91	997.8		11.2	113.3	75.2	41.2	6.4			328.48	374.8605263157895	49664624.05263158				
1997-12	101.0	106.01	1214.8		11.2	131.6	88.1	62.9	8.1			396.86	368.3677272727272	45965988.09090909				
1998-01	101.5	83.01	988.0		11.4	110.3	73.8	22.1	5.6			284.35	328.3463157894737	67936588.89473684				
1998-02	100.9	82.51	1000.0		11.6	100.7	67.9	23.7	5.9			309.56	303.94449999999995	64584228.3				
1998-03	100.6	88.29	1059.0		11.7	104.2	70.6	26.1	6.3			325.5	337.9142857142857	89038411.85714285				
1998-04	100.4	86.52	1040.0		11.7	104.5	70.9	25.5	6.0			312.37	314.0395454545455	56859672.18181818				
1998-05	100.5	86.26	1047.0		11.5	103.8	70.7	26.6	5.6			191.29	248.78055555555557	66911606.0				
1998-06	100.1	92.21	1122.0		11.3	102.8	70.0	31.8	5.7			151.35	180.33428571428573	32541808.04761905				
1998-07	100.2	90.74	1110.0		11.3	105.1	71.6	32.9	5.5			149.65	158.72434782608693	32025778.56521739				
1998-08	103.7	83.48	1052.0		11.6	112.6	81.1	35.4	4.9			65.61	103.46238095238098	10923251.047619049				
1998-09	138.4	63.44	1112.0		11.9	109.0	106.5	39.3	3.0			43.81	56.0859090909091	1225290.0				
1998-10	104.5	60.97	1123.0		12.3	100.8	103.8	37.6	2.9			57.54	51.07181818181818	2047150.3181818181				
1998-11	105.7	59.81	1164.0		12.8	101.3	110.0	41.9	2.9			71.46	63.4745	3064219.8				
1998-12	111.6	67.89	1482.0		13.2	113.4	136.5	64.2	3.5			58.93	61.16	2013641.6818181819				
1999-01	108.4	49.22	1167.0		12.2	92.0	119.7	28.5	2.7			55.12	57.291666666666664	1518841.9444444445				
1999-02	104.1	48.77	1199.0		14.6	89.1	120.9	31.8	3.0			70.03	64.3375	5114401.8				
1999-03	102.8	54.48	1385.0		14.1	94.5	132.0	36.5	3.5			80.36	79.74318181818181	8489616.136363637				
1999-04	103.0	54.48	1423.0		13.4	92.2	133.1	36.9	3.3			91.83	77.99772727272727	7321853.045454546				
1999-05	102.2	55.13	1472.0		12.7	92.4	136.5	41.4	2.9			97.64	96.46277777777779	10937127.666666666				
1999-06	101.9	59.38	1626.0		12.3	93.0	139.8	52.8	4.0			125.65	114.63571428571429	12981050.0				
1999-07	102.8	57.54	1618.0		12.1	93.0	143.3	56.2	3.2			116.49	133.54681818181822	14996287.636363637				
1999-08	101.2	56.45	1608.0		12.0	99.1	154.9	61.8	3.1			102.5	107.11909090909089	8385847.681818182				
1999-09	101.5	58.2	1684.0		12.1	99.6	158.5	67.6	3.1			83.12	92.30818181818184	7837753.545454546				
1999-10	101.4	58.43	1716.0		12.4	101.6	164.4	66.5	3.4			97.8	94.56380952380952	7199563.238095238				
1999-11	101.2	60.18	1789.0		12.6	102.2	167.4	72.0	3.5			112.36	111.38238095238094	12576379.714285715				
1999-12	101.3	74.87	2283.0		12.4	118.5	196.7	118.4	4.0			175.26	130.52363636363637	13150525.181818182				
2000-01	102.3	60.57	1830.0		12.2	98.5	167.0	46.1	2.9			172.31	188.9161111111111	26796827.166666668				
2000-02	101.0	60.2	1839.0		12.1	96.4	164.9	55.8	3.4			170.93	179.22238095238095	20712292.666666668				
2000-03	100.6	65.56	2018.0		11.4	102.5	176.6	63.9	3.7			231.88	216.3795454545455	36183785.81818182				
2000-04	100.9	65.69	2039.0		10.8	100.5	174.8	64.5	3.4			226.87	217.50099999999998	24765040.8				
2000-05	101.8	66.41	2101.0		10.2	99.9	176.6	75.8	3.4			190.21	203.33300000000003	20670153.9				
2000-06	102.6	70.67	2294.0		10.1	100.8	181.6	95.7	3.6			171.4	187.42857142857142	19390061.523809522				
2000-07	101.8	69.82	2302.0		10.0	102.2	186.5	99.1	3.6			194.09	186.07333333333332	18762579.23809524				
2000-08	101.0	68.77	2289.0		9.8	108.1	198.9	112.9	3.8			239.99	224.24391304347824	26515146.391304348				
2000-09	101.3	70.21	2367.0		9.8	108.1	201.6	118.3	3.8			199.08	211.4438095238095	20653185.333333332				
2000-10	102.1	70.57	2425.0		9.8	110.2	209.8	114.6	4.1			189.0	194.09272727272722	18349627.363636363				
2000-11	101.5	71.91	2508.0		9.8	111.6	215.5	123.0	4.4			143.42	175.31952380952384	15808843.42857143				
2000-12	101.6	85.42	3025.0		9.9	129.0	252.9	195.5	4.9			143.29	145.80599999999998	11619326.8				
2001-01	102.8	75.43	2733.0		10.0	104.3	212.3	66.7	3.2			173.53	163.10399999999998	16312769.6				
2001-02	102.3	71.58	2655.0		10.2	103.5	214.3	77.4	3.7			164.76	170.69050000000001	20333036.25				
2001-03	101.9	78.6	2964.0		9.6	110.4	232.1	86.2	4.3			169.46	173.05857142857144	16611356.904761905				
2001-04	101.8	76.0	2923.0		9.1	110.4	235.4	87.9	4.4			180.68	170.40619047619046	15147631.904761905				
2001-05	101.8	78.06	3054.0		8.6	111.5	241.6	106.1	4.6			208.8	198.79149999999998	19009134.2				
2001-06	101.6	82.51	3284.0		8.6	112.0	245.4	124.8	4.7			216.11	216.337	23536891.4				
2001-07	100.5	84.07	3364.0		8.6	113.0	248.0	127.7	4.4			196.12	203.10500000000002	19147204.318181816				
2001-08	100.0	84.33	3376.0		8.6	120.1	263.6	144.2	4.6			205.41	197.6113043478261	9755763.43478261				
2001-09	100.6	84.41	3405.0		8.7	119.6	263.9	149.2	4.2			180.25	195.13750000000005	11750029.7				
2001-10	101.1	86.27	3515.0		8.8	123.3	275.1	144.7	4.8			204.04	189.7704347826087	11745368.739130436				
2001-11	101.4	86.61	3578.0		8.9	124.4	281.1	150.2	5.1			226.49	220.30238095238096	18773714.80952381				
2001-12	101.6	108.0	4541.0		8.7	142.7	327.1	239.6	5.7			260.05	242.84650000000002	13851935.1				
2002-01	103.1	87.16	3760.0		8.6	114.8	270.1	78.1	3.7			287.53	286.4965000000001	20982332.2				
2002-02	101.2	85.33	3725.0		8.4	112.6	267.1	89.6	4.0			290.75	291.78000000000003	13005202.105263159				
2002-03	101.1	91.39	4031.0		8.3	120.8	288.2	102.4	4.7			350.75	333.553	21315036.15				
2002-04	101.2	92.03	4110.0		8.3	121.2	292.7	104.0	5.1			386.1	369.63217391304346	20388425.347826086				
2002-05	101.7	92.12	4187.0		8.2	118.5	291.0	125.1	4.7			391.26	399.8752631578947	23902071.52631579				
2002-06	100.5	97.55	4460.0		7.5	120.6	297.8	147.3	5.0			353.79	370.7105263157894	18122927.10526316				
2002-07	100.7	99.7	4597.0		7.3	125.0	310.1	152.2	5.5			326.23	359.498695652174	15327437.086956521				
2002-08	100.1	97.71	4511.0		7.1	130.8	324.3	167.0	5.1			332.9	336.42636363636365	10868267.227272727				
2002-09	100.4	97.51	4521.0		7.6	131.4	326.1	175.3	5.1			334.06	336.3157142857143	12532110.142857144				
2002-10	101.1	99.17	4646.0		8.1	135.7	339.4	169.1	5.9			358.65	350.48521739130445	14103660.347826088				
2002-11	101.6	98.77	4694.0		8.5	136.5	346.1	174.3	5.7			361.15	353.4484999999999	13010018.75				
2002-12	101.5	118.92	5738.0		8.8	155.9	400.7	278.0	6.5			359.07	350.89000000000004	10472166.57142857				
2003-01	102.4	95.85	4696.0		9.3	125.2	328.4	93.8	4.7			345.56	351.8199999999999	10865588.05				
2003-02	101.6	94.41	4701.0		9.6	123.1	326.1	110.6	5.2			383.23	366.41157894736847	14536272.421052631				
2003-03	101.1	98.95	4986.0		9.2	133.1	356.0	125.6	6.0			360.33	375.2925	15217282.1				
2003-04	101.0	100.13	5100.0		8.8	131.9	355.7	129.9	6.2			422.37	393.95681818181816	27336477.818181816				
2003-05	100.8	101.63	5221.0		8.5	130.6	354.4	158.8	5.9			467.1	445.7510526315789	26197061.42105263				
